accession	E_or_T	total_intensity	more_info	layout	Stress	Normal	significant_difference	piechart_graphics	
4868.97_Da_E667	experimental	22182063.48311	Accession = E667; Aggregated Mass = 4868.97206575555; Aggregated Retention Time = 30.159318376335; Total Intensity = 22182063.48311; Aggregated Component Count = 29; ; Lysine Count = 10; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 214-215; Charge State m/z (+8): 609.50356; RT (min): 29.8988858333333; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 214-215; Charge State m/z (+8): 609.50356; RT (min): 29.8988858333333\n\nQuantitation Results:Q-Value = 0.2784765897973445143256464013; Log2FC = 2.4533057817329; Significant = True; Stress Quantitative Component Count = 62; Normal Quantitative Component Count = 36; Abundant Component for Manual Validation of Quantification: File: 10-13-15_B_fract4_rep2_2-70-2-10; Scan Range: 198-200; Charge State m/z (+8): 609.50364; RT (min): 27.7218675	65	18757159.22	2061187.42354027	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
4942.78_Da_E551	experimental	140948348.24	Accession = E551; Aggregated Mass = 4942.78128670416; Aggregated Retention Time = 43.8736518358792; Total Intensity = 140948348.24; Aggregated Component Count = 110; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract5_rep1_2-70-2-10; Scan Range: 317-319; Charge State m/z (+7): 706.97545; RT (min): 43.97322; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract5_rep1_2-70-2-10; Scan Range: 317-319; Charge State m/z (+7): 706.97545; RT (min): 43.97322\n\nQuantitation Results:Q-Value = 0.8998392104679529829230428033; Log2FC = -0.428482391881186; Significant = False; Stress Quantitative Component Count = 98; Normal Quantitative Component Count = 103; Abundant Component for Manual Validation of Quantification: File: 10-13-15_B_fract4_rep2_2-70-2-10; Scan Range: 313-315; Charge State m/z (+7): 707.154654412011; RT (min): 43.3998133333333	66	60084968.39	80863379.85	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
5040.74_Da_E1368	experimental	2529356.30490792	Accession = E1368; Aggregated Mass = 5040.74439959134; Aggregated Retention Time = 43.6637944717375; Total Intensity = 2529356.30490792; Aggregated Component Count = 7; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 294-296; Charge State m/z (+7): 720.9701; RT (min): 43.6563058333333; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 294-296; Charge State m/z (+7): 720.9701; RT (min): 43.6563058333333\n\nQuantitation Results:Q-Value = 0.4503627338678885070637647956; Log2FC = -0.486358040224342; Significant = True; Stress Quantitative Component Count = 9; Normal Quantitative Component Count = 9; Abundant Component for Manual Validation of Quantification: File: 10-13-15_B_fract4_rep2_2-70-2-10; Scan Range: 312-314; Charge State m/z (+7): 721.00646; RT (min): 43.2661358333333	67	2902292.50830693	1475854.64	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
5761.26_Da_E1512	experimental	8389597.2	Accession = E1512; Aggregated Mass = 5761.25784292777; Aggregated Retention Time = 30.442006148317; Total Intensity = 8389597.2; Aggregated Component Count = 10; ; Lysine Count = 10; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract5_rep1_2-70-2-10; Scan Range: 216-218; Charge State m/z (+10): 577.03292; RT (min): 30.2760866666667; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract5_rep1_2-70-2-10; Scan Range: 217-219; Charge State m/z (+9): 641.03545; RT (min): 30.4180316666667\n\nQuantitation Results:Q-Value = 0.2866876310272536687631027256; Log2FC = 3.58801845593949; Significant = True; Stress Quantitative Component Count = 48; Normal Quantitative Component Count = 23; Abundant Component for Manual Validation of Quantification: File: 10-13-15_B_fract4_rep2_2-70-2-10; Scan Range: 204-206; Charge State m/z (+9): 641.0358; RT (min): 28.5569191666667	68	7745504.29	644092.91	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
5782.19_Da_E1064	experimental	249351125.95	Accession = E1064; Aggregated Mass = 5782.19289081733; Aggregated Retention Time = 50.9098482568032; Total Intensity = 249351125.95; Aggregated Component Count = 8; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 10-27-15_S_fract9_rep2_2-70-2-10; Scan Range: 369-371; Charge State m/z (+9): 643.36189; RT (min): 50.7485158333333; Abundant Component for Manual Validation of Identification Validation: File: 10-27-15_S_fract9_rep1_2-70-2-10; Scan Range: 369-371; Charge State m/z (+9): 643.3617; RT (min): 50.7656141666667\n\nQuantitation Results:Q-Value = 0.331898800208659363588941054; Log2FC = -0.90772243005176; Significant = True; Stress Quantitative Component Count = 41; Normal Quantitative Component Count = 50; Abundant Component for Manual Validation of Quantification: File: 10-20-15_A_fract10_rep1_2-70-2-10-50; Scan Range: 347-349; Charge State m/z (+9): 643.390313208429; RT (min): 47.8349216666667	69	86698215.64	162652910.31	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
5967.4_Da_E1115	experimental	18109195.3760351	Accession = E1115; Aggregated Mass = 5967.4025239119; Aggregated Retention Time = 30.2049755088421; Total Intensity = 18109195.3760351; Aggregated Component Count = 10; ; Lysine Count = 11; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 215-217; Charge State m/z (+10): 597.64712336744; RT (min): 30.1112233333333; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 215-217; Charge State m/z (+10): 597.64712336744; RT (min): 30.1112233333333\n\nQuantitation Results:Q-Value = 0.4295672076570952975447357472; Log2FC = 4.25391139298976; Significant = True; Stress Quantitative Component Count = 49; Normal Quantitative Component Count = 15; Abundant Component for Manual Validation of Quantification: File: 10-13-15_B_fract4_rep2_2-70-2-10; Scan Range: 203-205; Charge State m/z (+10): 597.647473806511; RT (min): 28.4188933333333	70	17207296.76	5059491.13963759	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6039.44_Da_E1222	experimental	15344297.99	Accession = E1222; Aggregated Mass = 6039.43857861664; Aggregated Retention Time = 30.324278218727; Total Intensity = 15344297.99; Aggregated Component Count = 17; ; Lysine Count = 11; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract5_rep1_2-70-2-10; Scan Range: 216-218; Charge State m/z (+10): 604.85088; RT (min): 30.2760866666667; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract5_rep1_2-70-2-10; Scan Range: 216-218; Charge State m/z (+10): 604.85088; RT (min): 30.2760866666667\n\nQuantitation Results:Q-Value = 0.3225047080979284369114877591; Log2FC = 2.13216885442068; Significant = True; Stress Quantitative Component Count = 53; Normal Quantitative Component Count = 53; Abundant Component for Manual Validation of Quantification: File: 10-13-15_B_fract4_rep2_2-70-2-10; Scan Range: 203-205; Charge State m/z (+10): 604.850882557781; RT (min): 28.4188933333333	71	12494189.95	2850108.04	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6151.52_Da_E1534	experimental_below_quantification_threshold	20	Accession = E1534; Aggregated Mass = 6151.5167666314; Aggregated Retention Time = 32.2558182505631; Total Intensity = 20; Aggregated Component Count = 9; ; Lysine Count = 11; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 228-230; Charge State m/z (+10): 616.05859; RT (min): 31.9427116666667; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 228-230; Charge State m/z (+10): 616.05859; RT (min): 31.9427116666667	72				
6157.54_Da_E1727 P04650_2full51_1G_P1_1T Missing Isoleucine (I)	experimental_below_quantification_threshold	20	Accession = E1727; Aggregated Mass = 6157.54228089293; Aggregated Retention Time = 52.2665682206845; Total Intensity = 20; Aggregated Component Count = 3; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 382-384; Charge State m/z (+10): 616.66125; RT (min): 52.239755; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 382-384; Charge State m/z (+10): 616.66125; RT (min): 52.239755	73				
6157.54_Da_E429 P04650_2full51_1G_P1_1T Missing Isoleucine (I)	experimental_below_quantification_threshold	20	Accession = E429; Aggregated Mass = 6157.54421999785; Aggregated Retention Time = 44.3750460816106; Total Intensity = 20; Aggregated Component Count = 47; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 320-322; Charge State m/z (+10): 616.66169; RT (min): 43.8715991666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 320-322; Charge State m/z (+10): 616.66169; RT (min): 43.8715991666667	74				
6173.54_Da_E656 P04650_2full51_1G_P2_1T Ox; Missing Isoleucine (I)	experimental	113449524.84	Accession = E656; Aggregated Mass = 6173.54088400909; Aggregated Retention Time = 44.1856072363453; Total Intensity = 113449524.84; Aggregated Component Count = 67; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 319-321; Charge State m/z (+10): 618.26144; RT (min): 44.2172658333333; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 319-321; Charge State m/z (+10): 618.26144; RT (min): 44.2172658333333\n\nQuantitation Results:Q-Value = 0.8520731887265751807584476906; Log2FC = -0.331930607421904; Significant = False; Stress Quantitative Component Count = 62; Normal Quantitative Component Count = 82; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract5_rep2_2-70-2-10; Scan Range: 316-318; Charge State m/z (+10): 618.39013; RT (min): 43.6876933333333	75	50227871.84	63221653	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6189.54_Da_E818 P04650_2full51_1G_P6_1T Ox; Ox; Missing Isoleucine (I)	experimental	194791712.77	Accession = E818; Aggregated Mass = 6189.53590732085; Aggregated Retention Time = 43.9531663007382; Total Intensity = 194791712.77; Aggregated Component Count = 70; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 296-298; Charge State m/z (+10): 619.86073; RT (min): 43.9230783333333; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 297-299; Charge State m/z (+10): 619.86058; RT (min): 44.0565091666667\n\nQuantitation Results:Q-Value = 0.8968018463567424991757335971; Log2FC = -0.263545436924214; Significant = False; Stress Quantitative Component Count = 120; Normal Quantitative Component Count = 134; Abundant Component for Manual Validation of Quantification: File: 10-15-15_C_fract5_rep1_2-70-2-10; Scan Range: 315-317; Charge State m/z (+10): 619.98932; RT (min): 43.6041925	76	88524580.69	106267132.08	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6191.43_Da_E1412	experimental	90627762.86	Accession = E1412; Aggregated Mass = 6191.4278718955; Aggregated Retention Time = 47.8558853429135; Total Intensity = 90627762.86; Aggregated Component Count = 5; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 10-30-15_S_fract10_rep2_2-70-2-10-50; Scan Range: 371-373; Charge State m/z (+9): 688.83226; RT (min): 50.6364308333333; Abundant Component for Manual Validation of Identification Validation: File: 10-27-15_S_fract9_rep1_2-70-2-10; Scan Range: 370-372; Charge State m/z (+9): 688.83234; RT (min): 50.8987208333333\n\nQuantitation Results:Q-Value = 0.305892255892255892255892256; Log2FC = -1.70828325303223; Significant = True; Stress Quantitative Component Count = 15; Normal Quantitative Component Count = 28; Abundant Component for Manual Validation of Quantification: File: 10-20-15_A_fract10_rep1_2-70-2-10-50; Scan Range: 351-353; Charge State m/z (+9): 688.72069; RT (min): 48.3677541666667	77	21593456.3699251	69392110.91	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6199.6_Da_E426 P04650_2full51_1G_P1_1T Missing Alanine (A)	experimental_below_quantification_threshold	20	Accession = E426; Aggregated Mass = 6199.59678605326; Aggregated Retention Time = 45.0328722588398; Total Intensity = 20; Aggregated Component Count = 17; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 326-328; Charge State m/z (+10): 620.8668; RT (min): 45.1497675; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 326-328; Charge State m/z (+10): 620.8668; RT (min): 45.1497675	78				
6215.59_Da_E1679 P04650_2full51_1G_P2_1T Ox; Missing Alanine (A)	experimental_below_quantification_threshold	20	Accession = E1679; Aggregated Mass = 6215.58907058852; Aggregated Retention Time = 44.372142373851; Total Intensity = 20; Aggregated Component Count = 2; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 10-30-15_S_fract11_rep1_2-70-2-10-50; Scan Range: 323-325; Charge State m/z (+10): 622.46598; RT (min): 44.2906066666667; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 325-327; Charge State m/z (+10): 622.46632; RT (min): 45.0166325	79				
6270.63_Da_E743 P04650_2full51_1G_P1_1T Unmodified	experimental_below_quantification_threshold	20	Accession = E743; Aggregated Mass = 6270.62628046983; Aggregated Retention Time = 52.9720677089746; Total Intensity = 20; Aggregated Component Count = 40; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 390-392; Charge State m/z (+10): 627.96956; RT (min): 53.3089641666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 390-392; Charge State m/z (+10): 627.96956; RT (min): 53.3089641666667	80				
6270.63_Da_E10 P04650_2full51_1G_P1_1T Unmodified	experimental	2635428538.62	Accession = E10; Aggregated Mass = 6270.63180430264; Aggregated Retention Time = 44.840343755342; Total Intensity = 2635428538.62; Aggregated Component Count = 225; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 327-329; Charge State m/z (+10): 627.97041; RT (min): 44.804165; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep2_2-70-2-10; Scan Range: 327-329; Charge State m/z (+10): 627.97041; RT (min): 44.804165\n\nQuantitation Results:Q-Value = 0.949220713926596279537456008; Log2FC = -0.587434586754969; Significant = False; Stress Quantitative Component Count = 173; Normal Quantitative Component Count = 180; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract5_rep1_2-70-2-10; Scan Range: 326-328; Charge State m/z (+10): 628.09855; RT (min): 45.131535	81	1053087795.45	1582340743.17	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6286.62_Da_E1338 P04650_2full51_1G_P4_1T Ox	experimental_below_quantification_threshold	20	Accession = E1338; Aggregated Mass = 6286.61956642737; Aggregated Retention Time = 52.5653283981356; Total Intensity = 20; Aggregated Component Count = 28; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 388-390; Charge State m/z (+10): 629.56912; RT (min): 53.0418175; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 388-390; Charge State m/z (+10): 629.56912; RT (min): 53.0418175	82				
6286.63_Da_E56 P04650_2full51_1G_P2_1T Ox	experimental	2692197065.74	Accession = E56; Aggregated Mass = 6286.62705717572; Aggregated Retention Time = 44.5030085521009; Total Intensity = 2692197065.74; Aggregated Component Count = 236; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 326-328; Charge State m/z (+10): 629.5698; RT (min): 44.6770516666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract5_rep1_2-70-2-10; Scan Range: 326-328; Charge State m/z (+10): 629.5698; RT (min): 44.6770516666667\n\nQuantitation Results:Q-Value = 0.7181647940074906367041198502; Log2FC = -0.636683193610217; Significant = False; Stress Quantitative Component Count = 217; Normal Quantitative Component Count = 266; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract5_rep2_2-70-2-10; Scan Range: 320-322; Charge State m/z (+10): 629.698246959094; RT (min): 44.2206125	83	1053800337.06	1638396728.68	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6302.62_Da_E81 P04650_2full51_1G_P6_1T Ox; Ox	experimental	2678223502.49	Accession = E81; Aggregated Mass = 6302.62037940784; Aggregated Retention Time = 44.1853621702446; Total Intensity = 2678223502.49; Aggregated Component Count = 181; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 298-300; Charge State m/z (+10): 631.16947; RT (min): 44.1895075; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_7_rep1_2-70-2-10; Scan Range: 299-301; Charge State m/z (+10): 631.16938; RT (min): 44.1654566666667\n\nQuantitation Results:Q-Value = 0.8967972531802319036361589553; Log2FC = -0.478291108305597; Significant = False; Stress Quantitative Component Count = 209; Normal Quantitative Component Count = 214; Abundant Component for Manual Validation of Quantification: File: 10-23-15_A_fract5_rep2_2-70-2-10; Scan Range: 312-314; Charge State m/z (+10): 631.1692; RT (min): 43.3510716666667	84	1119147481.57	1559076020.92	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
6302.62_Da_E1697 P04650_2full51_1G_P6_1T Ox; Ox	experimental_below_quantification_threshold	20	Accession = E1697; Aggregated Mass = 6302.62045529907; Aggregated Retention Time = 52.2597610184686; Total Intensity = 20; Aggregated Component Count = 5; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 382-384; Charge State m/z (+10): 631.16923; RT (min): 52.239755; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract4_rep1_2-70-2-10; Scan Range: 382-384; Charge State m/z (+10): 631.16923; RT (min): 52.239755	85				
