accession	E_or_T	total_intensity	more_info	layout	
P23301_2full157_1G_P74_1T Acetyl; Hypusine	modified_theoretical	20		40
P23301_2full157_1G_P24_1T Phospho; Methyl	modified_theoretical	20		41
P36010_2full153_1G_P1_1T Unmodified	theoretical	20		42
P0CX56_2full146_2G_P7_1T Acetyl; Methyl	modified_theoretical	20		43
Q02642_2full157_1G_P20_1T Ox; Ox	modified_theoretical	20		44
Q02642_2full157_1G_P2_1T Ox	modified_theoretical	20		45
P05756_2full151_1G_P8_1T Ox; Ox	modified_theoretical	20		46
Q02642_2full157_1G_P1_1T Unmodified	theoretical	20		47
P05756_2full151_1G_P2_1T Ox	modified_theoretical	20		48
Q02642_2full157_1G_P7_1T Ammonia loss	modified_theoretical	20		49
P05756_2full151_1G_P1_1T Unmodified	theoretical	20		50
P33421_51frag198_1G_P2_1T Ox	modified_theoretical	20		51
P02406_2full149_1G_P2_1T Ox	modified_theoretical	20		52
P02406_2full149_1G_P1_1T Unmodified	theoretical	20		53
P38832_2full159_1G_P2_1T Ox	modified_theoretical	20		54
Q92317_2full146_1G_P1_1T Unmodified	theoretical	20		55
P15731_2full148_1G_P5_1T Ox	modified_theoretical	20		56
O14467_2full151_1G_P6_1T Ox; Phospho	modified_theoretical	20		57
P53141_2full149_1G_P1_1T Unmodified	theoretical	20		58
P42949_2full149_1G_P1_1T Unmodified	theoretical	20		59
P28000_2full142_1G_P2_1T Ox	modified_theoretical	20		60
P0CX30_2full145_2G_P1_1T Unmodified	theoretical	20		61
P06787_2full147_1G_P1_1T Unmodified	theoretical	20		62
Q01855_2full142_1G_P46_1T Ox; Ox; Ox; Ox	modified_theoretical	20		63
Q01855_2full142_1G_P18_1T Acetyl; Ox	modified_theoretical	20		64
Q01855_2full142_1G_P22_1T Ox; Ox; Ox	modified_theoretical	20		65
Q01855_2full142_1G_P42_1T Methyl; Methyl; Methyl	modified_theoretical	20		66
Q01855_2full142_1G_P5_1T Acetyl	modified_theoretical	20		67
P40540_2full141_1G_P2_1T Ox	modified_theoretical	20		68
Q03048_2full143_1G_P20_1T Deamidation; Ox, Ox	modified_theoretical	20		69
P40540_2full141_1G_P1_1T Unmodified	theoretical	20		70
P00445_2full154_1G_P21_1T Methyl; Deamidation	modified_theoretical	20		71
Q08927_2full131_1G_P2_1T Ox	modified_theoretical	20		72
Q03048_2full143_1G_P22_1T Ox, Ox; Ammonia loss	modified_theoretical	20		73
P00445_2full154_1G_P19_1T Ammonia loss; Ox	modified_theoretical	20		74
Q03048_2full143_1G_P15_1T Ox; Ammonia loss	modified_theoretical	20		75
P0CX52_2full143_2G_P3_1T Acetyl	modified_theoretical	20		76
P07280_2full144_1G_P5_1T Deamidation; Ox	modified_theoretical	20		77
P07281_2full144_1G_P6_1T Deamidation; Ox	modified_theoretical	20		78
P07281_2full144_1G_P8_1T Ammonia loss; Ox	modified_theoretical	20		79
P04456_2full142_1G_P14_1T Ox; Ox	modified_theoretical	20		80
P07281_2full144_1G_P4_1T Ammonia loss	modified_theoretical	20		81
P02407_2full136_1G_P1_1T Unmodified	theoretical	20		82
P04456_2full142_1G_P4_1T Ox	modified_theoretical	20		83
P04456_2full142_1G_P1_1T Unmodified	theoretical	20		84
P53152_2full137_1G_P13_1T Ox; Ox; Ox	modified_theoretical	20		85
P22804_2full142_1G_P1_1T Unmodified	theoretical	20		86
P0C2H6_2full136_1G_P1_1T Unmodified	theoretical	20		87
P0CX32_2full135_2G_P5_1T Acetyl; Phospho	modified_theoretical	20		88
P48589_2full143_1G_P28_1T Ox; Acetyl	modified_theoretical	20		89
P48589_2full143_1G_P41_1T Ox; Ox; Ox	modified_theoretical	20		90
P61830_2full136_1G_P43_1T Methyl, Methyl; Methyl, Methyl; Methyl, Methyl	modified_theoretical	20		91
P48589_2full143_1G_P38_1T Water loss; Acetyl	modified_theoretical	20		92
P61830_2full136_1G_P40_1T Methyl, Methyl, Methyl; Methyl, Methyl	modified_theoretical	20		93
P61830_2full136_1G_P29_1T Methyl, Methyl, Methyl; Ox	modified_theoretical	20		94
P0CX32_2full135_2G_P3_1T Acetyl	modified_theoretical	20		95
P61830_2full136_1G_P1_1T Unmodified	theoretical	20		96
P36105_2full138_1G_P8_1T Acetyl; Ox	modified_theoretical	20		97
P53738_2full135_1G_P1_1T Unmodified	theoretical	20		98
P36105_2full138_1G_P4_1T Acetyl	modified_theoretical	20		99
P38754_2full138_1G_P4_1T Acetyl	modified_theoretical	20		100
P38754_2full138_1G_P2_1T Ox	modified_theoretical	20		101
P39989_22frag153_1G_P2_1T Ox	modified_theoretical	20		102
P53157_2full130_1G_P1_1T Unmodified	theoretical	20		103
P38061_2full130_1G_P2_1T Ox	modified_theoretical	20		104
P38061_2full130_1G_P1_1T Unmodified	theoretical	20		105
P38061_2full130_1G_P23_1T Ammonia loss; Deamidation	modified_theoretical	20		106
Q12165_23frag160_1G_P1_1T Unmodified	theoretical	20		107
Q3E7Y3_2full130_1G_P3_2T Ox; Ox	modified_theoretical	20		108
Q3E7Y3_2full130_1G_P2_2T Ox	modified_theoretical	20		109
Q3E7Y3_2full130_1G_P1_2T Unmodified	theoretical	20		110
P0CX42_2full137_2G_P11_1T Methyl, Methyl; Methyl, Methyl	modified_theoretical	20		111
P06367_2full137_1G_P8_1T Acetyl; Ox	modified_theoretical	20		112
P06367_2full137_1G_P4_1T Acetyl	modified_theoretical	20		113
P0CX42_2full137_2G_P4_1T Ox; Ox	modified_theoretical	20		114
P06367_2full137_1G_P6_1T Ox; Ox	modified_theoretical	20		115
P00128_2full127_1G_P1_1T Unmodified	theoretical	20		116
P0CX42_2full137_2G_P2_1T Ox	modified_theoretical	20		117
P06367_2full137_1G_P1_1T Unmodified	theoretical	20		118
P06367_2full137_1G_P11_1T Ammonia loss; Deamidation	modified_theoretical	20		119
P06367_2full137_1G_P5_1T Ammonia loss	modified_theoretical	20		120
P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl	modified_theoretical	20		121
P02293_2full131_1G_P9_1T Acetyl; Acetyl; Acetyl	modified_theoretical	20		122
P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	modified_theoretical	20		123
P02293_2full131_1G_P8_1T Acetyl; Acetyl	modified_theoretical	20		124
P02294_2full131_1G_P8_1T Acetyl; Acetyl	modified_theoretical	20		125
P02293_2full131_1G_P4_1T Acetyl	modified_theoretical	20		126
P02294_2full131_1G_P6_1T Acetyl; Ox	modified_theoretical	20		127
P02294_2full131_1G_P4_1T Acetyl	modified_theoretical	20		128
P02293_2full131_1G_P1_1T Unmodified	theoretical	20		129
P02294_2full131_1G_P1_1T Unmodified	theoretical	20		130
P53221_2full127_1G_P1_1T Unmodified	theoretical	20		131
P0CX85_2full120_2G_P2_1T Phospho	modified_theoretical	20		132
P40185_18frag145_1G_P1_1T Unmodified	theoretical	20		133
P0CX85_2full120_2G_P1_1T Unmodified	theoretical	20		134
P04912_2full132_1G_P3_2T Acetyl	modified_theoretical	20		135
P40037_2full129_1G_P7_1T Ox; Ox	modified_theoretical	20		136
P04912_2full132_1G_P1_2T Unmodified	theoretical	20		137
P38701_2full121_1G_P10_1T Acetyl; Ox	modified_theoretical	20		138
P40037_2full129_1G_P1_1T Unmodified	theoretical	20		139
P56628_2full122_1G_P1_1T Unmodified	theoretical	20		140
P56628_2full122_1G_P5_1T Ammonia loss; Water loss	modified_theoretical	20		141
P39938_2full119_1G_P2_1T Ox	modified_theoretical	20		142
P39938_2full119_1G_P1_1T Unmodified	theoretical	20		143
P39990_2full126_1G_P4_1T Ox	modified_theoretical	20		144
P05749_2full121_1G_P6_1T Methyl; Deamidation	modified_theoretical	20		145
P39990_2full126_1G_P1_1T Unmodified	theoretical	20		146
P05749_2full121_1G_P1_1T Unmodified	theoretical	20		147
P39939_2full119_1G_P1_1T Unmodified	theoretical	20		148
P05749_2full121_1G_P4_1T Ammonia loss	modified_theoretical	20		149
O13521_2full115_1G_P3_1T Ox; Ox	modified_theoretical	20		150
P32774_2full122_1G_P1_1T Unmodified	theoretical	20		151
Q02784_30frag150_1G_P1_1T Unmodified	theoretical	20		152
O13542_2full113_1G_P1_1T Unmodified	theoretical	20		153
P39111_2full118_1G_P1_1T Unmodified	theoretical	20		154
P32445_18frag135_1G_P4_1T Ox	modified_theoretical	20		155
P32445_18frag135_1G_P1_1T Unmodified	theoretical	20		156
P52553_2full114_1G_P3_1T Acetyl	modified_theoretical	20		157
P40312_2full120_1G_P1_1T Unmodified	theoretical	20		158
P0C2H9_2full113_1G_P2_1T Ox	modified_theoretical	20		159
P0C2H8_2full113_1G_P2_1T Ox	modified_theoretical	20		160
P0C2H9_2full113_1G_P1_1T Unmodified	theoretical	20		161
P0C2H8_2full113_1G_P1_1T Unmodified	theoretical	20		162
P48836_2full114_1G_P3_1T Acetyl	modified_theoretical	20		163
P18852_2full110_1G_P2_1T Ox	modified_theoretical	20		164
P25373_2full110_1G_P7_1T S-glutathionyl cysteine; Ox	modified_theoretical	20		165
Q08245_2full113_1G_P12_1T Acetyl; Phospho	modified_theoretical	20		166
Q08245_2full113_1G_P29_1T Acetyl; Sulfonation	modified_theoretical	20		167
P00427_41frag148_1G_P1_1T Unmodified	theoretical	20		168
Q08745_2full105_1G_P2_1T Ox	modified_theoretical	20		169
P46784_2full105_1G_P2_1T Ox	modified_theoretical	20		170
Q08745_2full105_1G_P1_1T Unmodified	theoretical	20		171
Q08245_2full113_1G_P4_1T Acetyl	modified_theoretical	20		172
Q08245_2full113_1G_P19_1T Acetyl; Ammonia loss	modified_theoretical	20		173
Q05926_2full109_1G_P2_1T Ox	modified_theoretical	20		174
P0CX27_2full106_2G_P3_1T Methyl; Methyl	modified_theoretical	20		175
P0CX27_2full106_2G_P2_1T Methyl	modified_theoretical	20		176
P38202_2full106_1G_P3_1T Ox; Ox	modified_theoretical	20		177
P38202_2full106_1G_P2_1T Ox	modified_theoretical	20		178
P38202_2full106_1G_P1_1T Unmodified	theoretical	20		179
P32911_2full108_1G_P5_1T Acetyl	modified_theoretical	20		180
P48606_2full106_1G_P1_1T Unmodified	theoretical	20		181
P20081_2full114_1G_P5_1T Acetyl	modified_theoretical	20		182
P05744_2full107_1G_P7_1T Acetyl; Methyl	modified_theoretical	20		183
P41056_2full107_1G_P2_1T Ox	modified_theoretical	20		184
P41056_2full107_1G_P1_1T Unmodified	theoretical	20		185
P05744_2full107_1G_P1_1T Unmodified	theoretical	20		186
Q3E792_2full108_1G_P3_1T Methyl, Methyl	modified_theoretical	20		187
P0C0T4_2full108_1G_P4_1T Methyl, Methyl; Ox	modified_theoretical	20		188
P0C0T4_2full108_1G_P3_1T Methyl, Methyl	modified_theoretical	20		189
P0C0T4_2full108_1G_P1_1T Unmodified	theoretical	20		190
P38804_2full111_1G_P1_1T Unmodified	theoretical	20		191
P22943_2full109_1G_P1_1T Unmodified	theoretical	20		192
P02309_2full103_1G_P11_1T Acetyl; Acetyl; Acetyl; Acetyl	modified_theoretical	20		193
P02309_2full103_1G_P10_1T Acetyl; Acetyl; Acetyl	modified_theoretical	20		194
P14120_2full105_1G_P8_1T Ox; Ox	modified_theoretical	20		195
P02309_2full103_1G_P9_1T Acetyl; Acetyl	modified_theoretical	20		196
P14120_2full105_1G_P2_1T Ox	modified_theoretical	20		197
P14120_2full105_1G_P4_1T Ox	modified_theoretical	20		198
P38910_2full106_1G_P9_1T Acetyl; Ox	modified_theoretical	20		199
P14120_2full105_1G_P1_1T Unmodified	theoretical	20		200
P02309_2full103_1G_P4_1T Acetyl	modified_theoretical	20		201
P38910_2full106_1G_P17_1T Acetyl; Ammonia loss	modified_theoretical	20		202
P22217_2full103_1G_P1_1T Unmodified	theoretical	20		203
P22803_2full104_1G_P1_1T Unmodified	theoretical	20		204
Q6Q560_2full94_1G_P2_1T Ox	modified_theoretical	20		205
P38203_2full95_1G_P2_1T Ox	modified_theoretical	20		206
P38203_2full95_1G_P1_1T Unmodified	theoretical	20		207
O14455_2full100_1G_P4_1T Ox; Ox	modified_theoretical	20		208
P05745_2full100_1G_P4_1T Ox; Ox	modified_theoretical	20		209
O14455_2full100_1G_P2_1T Ox	modified_theoretical	20		210
P05745_2full100_1G_P2_1T Ox	modified_theoretical	20		211
O14455_2full100_1G_P1_1T Unmodified	theoretical	20		212
P05745_2full100_1G_P1_1T Unmodified	theoretical	20		213
P02400_2full110_1G_P8_1T Phospho; Ox	modified_theoretical	20		214
P02400_2full110_1G_P13_1T Ox; Phospho	modified_theoretical	20		215
P02400_2full110_1G_P3_1T Phospho	modified_theoretical	20		216
P02400_2full110_1G_P1_1T Unmodified	theoretical	20		217
P46965_2full94_1G_P3_1T Acetyl	modified_theoretical	20		218
P81449_2full96_1G_P3_1T Acetyl	modified_theoretical	20		219
P43682_2full97_1G_P2_1T Ox	modified_theoretical	20		220
P11632_2full93_1G_P3_1T Ox	modified_theoretical	20		221
P11632_2full93_1G_P1_1T Unmodified	theoretical	20		222
P05319_2full106_1G_P8_1T Phospho; Ox	modified_theoretical	20		223
P05319_2full106_1G_P4_1T Phospho	modified_theoretical	20		224
A0A023PZE6_17frag104_1G_P3_1T Ox; Ox	modified_theoretical	20		225
P10622_2full106_1G_P22_1T Acetyl; Phospho	modified_theoretical	20		226
P05319_2full106_1G_P2_1T Ox	modified_theoretical	20		227
P05319_2full106_1G_P1_1T Unmodified	theoretical	20		228
Q06405_7frag101_1G_P1_1T Unmodified	theoretical	20		229
Q3E772_2full92_1G_P3_1T Ox; Ox	modified_theoretical	20		230
Q3E772_2full92_1G_P2_1T Ox	modified_theoretical	20		231
Q3E772_2full92_1G_P1_1T Unmodified	theoretical	20		232
Q12349_33frag124_1G_P1_1T Unmodified	theoretical	20		233
Q06346_136frag221_1G_P1_1T Unmodified	theoretical	20		234
P0CX25_2full92_2G_P3_1T Phospho	modified_theoretical	20		235
Q02647_2full92_1G_P1_1T Unmodified	theoretical	20		236
Q12330_2full94_1G_P1_1T Unmodified	theoretical	20		237
O94742_2full89_1G_P3_1T Acetyl	modified_theoretical	20		238
P0CX25_2full92_2G_P2_1T Ox	modified_theoretical	20		239
Q96VH5_2full97_1G_P4_1T Ox	modified_theoretical	20		240
P0CX25_2full92_2G_P1_1T Unmodified	theoretical	20		241
Q96VH5_2full97_1G_P1_1T Unmodified	theoretical	20		242
P32463_37frag125_1G_P2_1T O-(pantetheine 4'-phosphoryl)serine	modified_theoretical	20		243
P51402_2full88_1G_P4_1T Ox; Deamidation	modified_theoretical	20		244
P51402_2full88_1G_P2_1T Ox	modified_theoretical	20		245
P51402_2full88_1G_P1_1T Unmodified	theoretical	20		246
P49166_2full88_1G_P6_1T Ox; Deamidation	modified_theoretical	20		247
P49166_2full88_1G_P4_1T Ox	modified_theoretical	20		248
P49166_2full88_1G_P1_1T Unmodified	theoretical	20		249
P49166_2full88_1G_P10_1T Ox; Ammonia loss	modified_theoretical	20		250
P49166_2full88_1G_P12_1T Ox; Ammonia loss	modified_theoretical	20		251
P49166_2full88_1G_P11_1T Ammonia loss; Deamidation	modified_theoretical	20		252
P49166_2full88_1G_P5_1T Ammonia loss	modified_theoretical	20		253
Q3E7B2_2full85_1G_P2_1T Ox	modified_theoretical	20		254
Q3E7B2_2full85_1G_P1_1T Unmodified	theoretical	20		255
Q3E747_2full85_1G_P1_1T Unmodified	theoretical	20		256
P16965_2full84_1G_P1_1T Unmodified	theoretical	20		257
Q04119_1frag83_1G_P2_1T Ox	modified_theoretical	20		258
P52871_2full88_1G_P1_1T Unmodified	theoretical	20		259
Q06406_2full86_1G_P1_1T Unmodified	theoretical	20		260
P05759_77frag152_1G_P7_1T Acetyl	modified_theoretical	20		261
Q3E736_2full78_1G_P2_1T Ox	modified_theoretical	20		262
Q3E736_2full78_1G_P1_1T Unmodified	theoretical	20		263
P35179_2full80_1G_P1_1T Unmodified	theoretical	20		264
P49167_2full78_1G_P1_1T Unmodified	theoretical	20		265
P52870_2full82_1G_P1_1T Unmodified	theoretical	20		266
P0CH09_1frag76_8G_P2_1T Ox	modified_theoretical	20		267
P0CH09_1frag76_8G_P1_1T Unmodified	theoretical	20		268
P0CT04_2full75_1G_P1_1T Unmodified	theoretical	20		269
P37299_2full77_1G_P2_1T Ox	modified_theoretical	20		270
P41806_2full77_1G_P2_1T Ox	modified_theoretical	20		271
P41806_2full77_1G_P1_1T Unmodified	theoretical	20		272
Q3E7B7_2full68_1G_P2_1T Ox	modified_theoretical	20		273
P36533_2full70_1G_P1_1T Unmodified	theoretical	20		274
Q3E7B7_2full68_1G_P1_1T Unmodified	theoretical	20		275
Q8TGM5_2full67_1G_P2_1T Ox	modified_theoretical	20		276
Q3E7X9_2full67_1G_P8_1T Methyl; Ox	modified_theoretical	20		277
Q3E7X9_2full67_1G_P5_1T Methyl	modified_theoretical	20		278
P81451_2full68_1G_P1_1T Unmodified	theoretical	20		279
P38374_2full65_1G_P1_1T Unmodified	theoretical	20		280
P0CX34_2full63_2G_P4_1T Phospho; Ox	modified_theoretical	20		281
P0CX34_2full63_2G_P2_1T Ox	modified_theoretical	20		282
P0CX34_2full63_2G_P1_1T Unmodified	theoretical	20		283
Q3E764_2full64_1G_P3_1T Ox; Ox	modified_theoretical	20		284
Q3E764_2full64_1G_P2_1T Ox	modified_theoretical	20		285
Q3E764_2full64_1G_P1_1T Unmodified	theoretical	20		286
P41058_2full56_1G_P5_1T Phospho; Deamidation	modified_theoretical	20		287
P07255_2full59_1G_P1_1T Unmodified	theoretical	20		288
P41058_2full56_1G_P8_1T Ox; Deamidation	modified_theoretical	20		289
P41058_2full56_1G_P4_1T Ox	modified_theoretical	20		290
P41057_2full56_1G_P5_1T Phospho; Deamidation	modified_theoretical	20		291
P41058_2full56_1G_P3_1T Deamidation	modified_theoretical	20		292
P41057_2full56_1G_P1_1T Unmodified	theoretical	20		293
P41057_2full56_1G_P8_1T Deamidation; Water loss	modified_theoretical	20		294
P41057_2full56_1G_P4_1T Water loss	modified_theoretical	20		295
P21306_2full62_1G_P4_1T Deamidation; Phospho	modified_theoretical	20		296
P21306_2full62_1G_P1_1T Unmodified	theoretical	20		297
P05747_2full59_1G_P1_1T Unmodified	theoretical	20		298
Q6Q547_2full58_1G_P2_1T Ox	modified_theoretical	20		299
Q6Q547_2full58_1G_P1_1T Unmodified	theoretical	20		300
P0CH09_77frag128_2G_P1_1T Unmodified	theoretical	20		301
P04650_2full51_1G_P6_1T Ox; Ox	modified_theoretical	20		302
P04650_2full51_1G_P12_1T Ox; Ox	modified_theoretical	20		303
P04650_2full51_1G_P2_1T Ox	modified_theoretical	20		304
P04650_2full51_1G_P4_1T Ox	modified_theoretical	20		305
P04650_2full51_1G_P1_1T Unmodified	theoretical	20		306
P04650_2full51_1G_P14_1T Ammonia loss; Ox	modified_theoretical	20		307
P04650_2full51_1G_P5_1T Ammonia loss	modified_theoretical	20		308
Q3E818_2full50_1G_P1_1T Unmodified	theoretical	20		309
Q3E837_2full39_1G_P1_1T Unmodified	theoretical	20		310
P0CX87_2full25_2G_P1_1T Unmodified	theoretical	20		311
2800.72_Da_E2182	experimental	128644.61	Accession = E2182; Aggregated Mass = 2800.71511188527; Aggregated Retention Time = 28.0670004794582; Total Intensity = 128644.61; Aggregated Component Count = 13; ; Lysine Count = 3; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_8_rep2_2-70-2-10; Scan Range: 197-198; Charge State m/z (+5): 561.15019; RT (min): 27.836285; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_8_rep2_2-70-2-10; Scan Range: 197-198; Charge State m/z (+5): 561.15019; RT (min): 27.836285	312
2930.85_Da_E2195	experimental	60273.17	Accession = E2195; Aggregated Mass = 2930.84802062744; Aggregated Retention Time = 30.3301053925213; Total Intensity = 60273.17; Aggregated Component Count = 5; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 09-11-15_6-stress_rep1_2-70-2-10; Scan Range: 198-199; Charge State m/z (+5): 586.97636; RT (min): 30.0737891666667; Abundant Component for Manual Validation of Identification Validation: File: 10-27-15_S_fract9_rep2_2-70-2-10; Scan Range: 232-234; Charge State m/z (+5): 586.97638; RT (min): 32.3476508333333	313
2930.85_Da_E2059	experimental	362088.09	Accession = E2059; Aggregated Mass = 2930.84901992554; Aggregated Retention Time = 43.2752782318533; Total Intensity = 362088.09; Aggregated Component Count = 5; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract4_rep2_2-70-2-10; Scan Range: 309-311; Charge State m/z (+5): 586.97672; RT (min): 42.9335358333333; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract4_rep2_2-70-2-10; Scan Range: 309-311; Charge State m/z (+5): 586.97672; RT (min): 42.9335358333333	314
3049.74_Da_E1866	experimental	526991.86	Accession = E1866; Aggregated Mass = 3049.74421427958; Aggregated Retention Time = 49.2274370714158; Total Intensity = 526991.86; Aggregated Component Count = 2; ; Lysine Count = 2; Abundant Component for Manual Validation of Identification: File: 09-09-15_4-stress_rep1_2-70-2-10; Scan Range: 303-305; Charge State m/z (+5): 610.95611; RT (min): 49.2903391666667; Abundant Component for Manual Validation of Identification Validation: File: 09-09-15_4-stress_rep1_2-70-2-10; Scan Range: 303-305; Charge State m/z (+5): 610.95611; RT (min): 49.2903391666667	315
3060.59_Da_E1732	experimental	1216819.42	Accession = E1732; Aggregated Mass = 3060.59372237528; Aggregated Retention Time = 46.5031230776164; Total Intensity = 1216819.42; Aggregated Component Count = 3; ; Lysine Count = 3; Abundant Component for Manual Validation of Identification: File: 09-09-15_4-stress_rep1_2-70-2-10; Scan Range: 283-285; Charge State m/z (+4): 766.15576; RT (min): 46.6093216666667; Abundant Component for Manual Validation of Identification Validation: File: 09-09-15_4-stress_rep1_2-70-2-10; Scan Range: 283-285; Charge State m/z (+4): 766.15576; RT (min): 46.6093216666667	316
3087.73_Da_E2006	experimental	271209.45	Accession = E2006; Aggregated Mass = 3087.73224544911; Aggregated Retention Time = 45.919197372851; Total Intensity = 271209.45; Aggregated Component Count = 2; ; Lysine Count = 4; Abundant Component for Manual Validation of Identification: File: 09-12-15_8-stress_rep1_2-70-2-10; Scan Range: 294-296; Charge State m/z (+5): 618.55373; RT (min): 45.8531208333333; Abundant Component for Manual Validation of Identification Validation: File: 09-12-15_8-stress_rep1_2-70-2-10; Scan Range: 294-296; Charge State m/z (+5): 618.55373; RT (min): 45.8531208333333	317
3136.78_Da_E1970	experimental	167539.38	Accession = E1970; Aggregated Mass = 3136.77721721092; Aggregated Retention Time = 49.0225375; Total Intensity = 167539.38; Aggregated Component Count = 1; ; Lysine Count = 2; Abundant Component for Manual Validation of Identification: File: 09-09-15_4-stress_rep1_2-70-2-10; Scan Range: 301-303; Charge State m/z (+5): 628.36272; RT (min): 49.0225375; Abundant Component for Manual Validation of Identification Validation: File: 09-09-15_4-stress_rep1_2-70-2-10; Scan Range: 301-303; Charge State m/z (+5): 628.36272; RT (min): 49.0225375	318
3303.81_Da_E2013	experimental	365433.61	Accession = E2013; Aggregated Mass = 3303.81363569476; Aggregated Retention Time = 43.7464967504434; Total Intensity = 365433.61; Aggregated Component Count = 3; ; Lysine Count = 3; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract4_rep2_2-70-2-10; Scan Range: 316-318; Charge State m/z (+5): 661.76992; RT (min): 43.8745491666667; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract4_rep2_2-70-2-10; Scan Range: 315-317; Charge State m/z (+5): 661.76997; RT (min): 43.7405875	319
3316.05_Da_E2264	experimental	2352.75	Accession = E2264; Aggregated Mass = 3316.05127680424; Aggregated Retention Time = 32.8167941666667; Total Intensity = 2352.75; Aggregated Component Count = 1; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 09-10-15_7-stress_rep1_2-70-2-10; Scan Range: 226-227; Charge State m/z (+6): 553.51544; RT (min): 32.8167941666667; Abundant Component for Manual Validation of Identification Validation: File: 10-27-15_S_fract12_rep1_2-70-2-10-50; Scan Range: 205-207; Charge State m/z (+6): 553.51593; RT (min): 28.52712	320
3316.05_Da_E2196	experimental	24199.96	Accession = E2196; Aggregated Mass = 3316.05372849712; Aggregated Retention Time = 43.6514908333333; Total Intensity = 24199.96; Aggregated Component Count = 1; ; Lysine Count = 8; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract4_rep1_2-70-2-10; Scan Range: 314-316; Charge State m/z (+5): 664.01756; RT (min): 43.6514908333333; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep2_2-70-2-10; Scan Range: 308-310; Charge State m/z (+5): 663.61939; RT (min): 42.9943466666667	321
